,movie,year,imdb,metascore,votes,n_imdb
8013,Robin Hood,2010,6.6,53,241647,66.0
8014,The A-Team,2010,6.7,47,237275,67.0
8015,The Other Guys,2010,6.6,64,224766,66.0
8016,The Twilight Saga: Eclipse,2010,5.0,58,214115,50.0
8017,Grown Ups,2010,5.9,30,213857,59.0
8018,Megamind,2010,7.2,63,211367,72.0
8019,The Tourist,2010,6.0,37,209218,60.0
8020,Predators,2010,6.4,51,201982,64.0
8021,Machete,2010,6.6,60,183689,66.0
8022,Unstoppable,2010,6.7,69,174777,67.0
8023,Blue Valentine,2010,7.4,81,172199,74.0
8024,Knight and Day,2010,6.3,46,171355,63.0
8025,Shrek Forever After,2010,6.3,58,170447,63.0
8026,The Next Three Days,2010,7.4,52,170424,74.0
8027,Love & Other Drugs,2010,6.7,55,169742,67.0
8028,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167031,59.0
8029,Get Him to the Greek,2010,6.4,65,162732,64.0
8030,Tucker and Dale vs Evil,2010,7.5,65,155647,75.0
8031,Inception,2010,8.8,74,1872608,88.0
8032,Shutter Island,2010,8.1,63,1024847,81.0
8033,Toy Story 3,2010,8.3,92,699579,83.0
8034,Iron Man 2,2010,7.0,57,670942,70.0
8035,Black Swan,2010,8.0,79,656941,80.0
8036,How to Train Your Dragon,2010,8.1,74,620196,81.0
8037,The King's Speech,2010,8.0,88,600433,80.0
8038,The Social Network,2010,7.7,95,575608,77.0
8039,Kick-Ass,2010,7.6,66,502135,76.0
8040,Despicable Me,2010,7.6,72,470811,76.0
8041,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,433215,77.0
8042,Tangled,2010,7.7,71,372597,77.0
8043,Alice in Wonderland,2010,6.4,53,362696,64.0
8044,Scott Pilgrim vs. the World,2010,7.5,69,344535,75.0
8045,Easy A,2010,7.1,72,334919,71.0
8046,127 Hours,2010,7.6,82,327941,76.0
8047,The Town,2010,7.5,74,326541,75.0
8048,The Fighter,2010,7.8,79,319699,78.0
8049,The Expendables,2010,6.5,45,310867,65.0
8050,Due Date,2010,6.5,51,306937,65.0
8051,Tron,2010,6.8,49,298863,68.0
8052,True Grit,2010,7.6,80,288160,76.0
8053,Salt,2010,6.4,65,279741,64.0
8054,The Book of Eli,2010,6.9,53,275490,69.0
8055,RED,2010,7.0,60,274071,70.0
8056,Clash of the Titans,2010,5.8,39,259126,58.0
8057,Insidious,2010,6.8,52,258536,68.0
8058,Prince of Persia: The Sands of Time,2010,6.6,50,258133,66.0
8059,Robin Hood,2010,6.6,53,241647,66.0
8060,The A-Team,2010,6.7,47,237275,67.0
8061,The Other Guys,2010,6.6,64,224766,66.0
8062,The Twilight Saga: Eclipse,2010,5.0,58,214115,50.0
8063,Grown Ups,2010,5.9,30,213857,59.0
8064,Megamind,2010,7.2,63,211367,72.0
8065,The Tourist,2010,6.0,37,209218,60.0
8066,Predators,2010,6.4,51,201982,64.0
8067,Machete,2010,6.6,60,183689,66.0
8068,Unstoppable,2010,6.7,69,174777,67.0
8069,Blue Valentine,2010,7.4,81,172199,74.0
8070,Knight and Day,2010,6.3,46,171355,63.0
8071,Shrek Forever After,2010,6.3,58,170447,63.0
8072,The Next Three Days,2010,7.4,52,170424,74.0
8073,Love & Other Drugs,2010,6.7,55,169742,67.0
8074,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167031,59.0
8075,Get Him to the Greek,2010,6.4,65,162732,64.0
8076,Tucker and Dale vs Evil,2010,7.5,65,155647,75.0
8077,Inception,2010,8.8,74,1872608,88.0
8078,Shutter Island,2010,8.1,63,1024847,81.0
8079,Toy Story 3,2010,8.3,92,699579,83.0
8080,Iron Man 2,2010,7.0,57,670942,70.0
8081,Black Swan,2010,8.0,79,656941,80.0
8082,How to Train Your Dragon,2010,8.1,74,620196,81.0
8083,The King's Speech,2010,8.0,88,600433,80.0
8084,The Social Network,2010,7.7,95,575608,77.0
8085,Kick-Ass,2010,7.6,66,502135,76.0
8086,Despicable Me,2010,7.6,72,470811,76.0
8087,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,433215,77.0
8088,Tangled,2010,7.7,71,372597,77.0
8089,Alice in Wonderland,2010,6.4,53,362696,64.0
8090,Scott Pilgrim vs. the World,2010,7.5,69,344535,75.0
8091,Easy A,2010,7.1,72,334919,71.0
8092,127 Hours,2010,7.6,82,327941,76.0
8093,The Town,2010,7.5,74,326541,75.0
8094,The Fighter,2010,7.8,79,319699,78.0
8095,The Expendables,2010,6.5,45,310867,65.0
8096,Due Date,2010,6.5,51,306937,65.0
8097,Tron,2010,6.8,49,298863,68.0
8098,True Grit,2010,7.6,80,288160,76.0
8099,Salt,2010,6.4,65,279741,64.0
8100,The Book of Eli,2010,6.9,53,275490,69.0
8101,RED,2010,7.0,60,274071,70.0
8102,Clash of the Titans,2010,5.8,39,259126,58.0
8103,Insidious,2010,6.8,52,258536,68.0
8104,Prince of Persia: The Sands of Time,2010,6.6,50,258133,66.0
8105,Robin Hood,2010,6.6,53,241647,66.0
8106,The A-Team,2010,6.7,47,237275,67.0
8107,The Other Guys,2010,6.6,64,224766,66.0
8108,The Twilight Saga: Eclipse,2010,5.0,58,214115,50.0
8109,Grown Ups,2010,5.9,30,213857,59.0
8110,Megamind,2010,7.2,63,211367,72.0
8111,The Tourist,2010,6.0,37,209218,60.0
8112,Predators,2010,6.4,51,201982,64.0
8113,Machete,2010,6.6,60,183689,66.0
8114,Unstoppable,2010,6.7,69,174777,67.0
8115,Blue Valentine,2010,7.4,81,172199,74.0
8116,Knight and Day,2010,6.3,46,171355,63.0
8117,Shrek Forever After,2010,6.3,58,170447,63.0
8118,The Next Three Days,2010,7.4,52,170424,74.0
8119,Love & Other Drugs,2010,6.7,55,169742,67.0
8120,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167031,59.0
8121,Get Him to the Greek,2010,6.4,65,162732,64.0
8122,Tucker and Dale vs Evil,2010,7.5,65,155647,75.0
8123,Inception,2010,8.8,74,1872608,88.0
8124,Shutter Island,2010,8.1,63,1024847,81.0
8125,Toy Story 3,2010,8.3,92,699579,83.0
8126,Iron Man 2,2010,7.0,57,670942,70.0
8127,Black Swan,2010,8.0,79,656941,80.0
8128,How to Train Your Dragon,2010,8.1,74,620196,81.0
8129,The King's Speech,2010,8.0,88,600433,80.0
8130,The Social Network,2010,7.7,95,575608,77.0
8131,Kick-Ass,2010,7.6,66,502135,76.0
8132,Despicable Me,2010,7.6,72,470811,76.0
8133,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,433215,77.0
8134,Tangled,2010,7.7,71,372597,77.0
8135,Alice in Wonderland,2010,6.4,53,362696,64.0
8136,Scott Pilgrim vs. the World,2010,7.5,69,344535,75.0
8137,Easy A,2010,7.1,72,334919,71.0
8138,127 Hours,2010,7.6,82,327941,76.0
8139,The Town,2010,7.5,74,326541,75.0
8140,The Fighter,2010,7.8,79,319699,78.0
8141,The Expendables,2010,6.5,45,310867,65.0
8142,Due Date,2010,6.5,51,306937,65.0
8143,Tron,2010,6.8,49,298863,68.0
8144,True Grit,2010,7.6,80,288160,76.0
8145,Salt,2010,6.4,65,279741,64.0
8146,The Book of Eli,2010,6.9,53,275490,69.0
8147,RED,2010,7.0,60,274071,70.0
8148,Clash of the Titans,2010,5.8,39,259126,58.0
8149,Insidious,2010,6.8,52,258536,68.0
8150,Prince of Persia: The Sands of Time,2010,6.6,50,258133,66.0
8151,Robin Hood,2010,6.6,53,241647,66.0
8152,The A-Team,2010,6.7,47,237275,67.0
8153,The Other Guys,2010,6.6,64,224766,66.0
8154,The Twilight Saga: Eclipse,2010,5.0,58,214115,50.0
8155,Grown Ups,2010,5.9,30,213857,59.0
8156,Megamind,2010,7.2,63,211367,72.0
8157,The Tourist,2010,6.0,37,209218,60.0
8158,Predators,2010,6.4,51,201982,64.0
8159,Machete,2010,6.6,60,183689,66.0
8160,Unstoppable,2010,6.7,69,174777,67.0
8161,Blue Valentine,2010,7.4,81,172199,74.0
8162,Knight and Day,2010,6.3,46,171355,63.0
8163,Shrek Forever After,2010,6.3,58,170447,63.0
8164,The Next Three Days,2010,7.4,52,170424,74.0
8165,Love & Other Drugs,2010,6.7,55,169742,67.0
8166,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167031,59.0
8167,Get Him to the Greek,2010,6.4,65,162732,64.0
8168,Tucker and Dale vs Evil,2010,7.5,65,155647,75.0
8169,Inception,2010,8.8,74,1872608,88.0
8170,Shutter Island,2010,8.1,63,1024847,81.0
8171,Toy Story 3,2010,8.3,92,699579,83.0
8172,Iron Man 2,2010,7.0,57,670942,70.0
8173,Black Swan,2010,8.0,79,656941,80.0
8174,How to Train Your Dragon,2010,8.1,74,620196,81.0
8175,The King's Speech,2010,8.0,88,600433,80.0
8176,The Social Network,2010,7.7,95,575608,77.0
8177,Kick-Ass,2010,7.6,66,502135,76.0
8178,Despicable Me,2010,7.6,72,470811,76.0
8179,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,433215,77.0
8180,Tangled,2010,7.7,71,372597,77.0
8181,Alice in Wonderland,2010,6.4,53,362696,64.0
8182,Scott Pilgrim vs. the World,2010,7.5,69,344535,75.0
8183,Easy A,2010,7.1,72,334919,71.0
8184,127 Hours,2010,7.6,82,327941,76.0
8185,The Town,2010,7.5,74,326541,75.0
8186,The Fighter,2010,7.8,79,319699,78.0
8187,The Expendables,2010,6.5,45,310867,65.0
8188,Due Date,2010,6.5,51,306937,65.0
8189,Tron,2010,6.8,49,298863,68.0
8190,True Grit,2010,7.6,80,288160,76.0
8191,Salt,2010,6.4,65,279741,64.0
8192,The Book of Eli,2010,6.9,53,275490,69.0
8193,RED,2010,7.0,60,274071,70.0
8194,Clash of the Titans,2010,5.8,39,259126,58.0
8195,Insidious,2010,6.8,52,258536,68.0
8196,Prince of Persia: The Sands of Time,2010,6.6,50,258133,66.0
8197,Robin Hood,2010,6.6,53,241647,66.0
8198,The A-Team,2010,6.7,47,237275,67.0
8199,The Other Guys,2010,6.6,64,224766,66.0
8200,The Twilight Saga: Eclipse,2010,5.0,58,214115,50.0
8201,Grown Ups,2010,5.9,30,213857,59.0
8202,Megamind,2010,7.2,63,211367,72.0
8203,The Tourist,2010,6.0,37,209218,60.0
8204,Predators,2010,6.4,51,201982,64.0
8205,Machete,2010,6.6,60,183689,66.0
8206,Unstoppable,2010,6.7,69,174777,67.0
8207,Blue Valentine,2010,7.4,81,172199,74.0
8208,Knight and Day,2010,6.3,46,171355,63.0
8209,Shrek Forever After,2010,6.3,58,170447,63.0
8210,The Next Three Days,2010,7.4,52,170424,74.0
8211,Love & Other Drugs,2010,6.7,55,169742,67.0
8212,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167031,59.0
8213,Get Him to the Greek,2010,6.4,65,162732,64.0
8214,Tucker and Dale vs Evil,2010,7.5,65,155647,75.0
8215,Inception,2010,8.8,74,1872608,88.0
8216,Shutter Island,2010,8.1,63,1024847,81.0
8217,Toy Story 3,2010,8.3,92,699579,83.0
8218,Iron Man 2,2010,7.0,57,670942,70.0
8219,Black Swan,2010,8.0,79,656941,80.0
8220,How to Train Your Dragon,2010,8.1,74,620196,81.0
8221,The King's Speech,2010,8.0,88,600433,80.0
8222,The Social Network,2010,7.7,95,575608,77.0
8223,Kick-Ass,2010,7.6,66,502135,76.0
8224,Despicable Me,2010,7.6,72,470811,76.0
8225,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,433215,77.0
8226,Tangled,2010,7.7,71,372597,77.0
8227,Alice in Wonderland,2010,6.4,53,362696,64.0
8228,Scott Pilgrim vs. the World,2010,7.5,69,344535,75.0
8229,Easy A,2010,7.1,72,334919,71.0
8230,127 Hours,2010,7.6,82,327941,76.0
8231,The Town,2010,7.5,74,326541,75.0
8232,The Fighter,2010,7.8,79,319699,78.0
8233,The Expendables,2010,6.5,45,310867,65.0
8234,Due Date,2010,6.5,51,306937,65.0
8235,Tron,2010,6.8,49,298863,68.0
8236,True Grit,2010,7.6,80,288160,76.0
8237,Salt,2010,6.4,65,279741,64.0
8238,The Book of Eli,2010,6.9,53,275490,69.0
8239,RED,2010,7.0,60,274071,70.0
8240,Clash of the Titans,2010,5.8,39,259126,58.0
8241,Insidious,2010,6.8,52,258536,68.0
8242,Prince of Persia: The Sands of Time,2010,6.6,50,258133,66.0
8243,Robin Hood,2010,6.6,53,241647,66.0
8244,The A-Team,2010,6.7,47,237275,67.0
8245,The Other Guys,2010,6.6,64,224766,66.0
8246,The Twilight Saga: Eclipse,2010,5.0,58,214115,50.0
8247,Grown Ups,2010,5.9,30,213857,59.0
8248,Megamind,2010,7.2,63,211367,72.0
8249,The Tourist,2010,6.0,37,209218,60.0
8250,Predators,2010,6.4,51,201982,64.0
8251,Machete,2010,6.6,60,183689,66.0
8252,Unstoppable,2010,6.7,69,174777,67.0
8253,Blue Valentine,2010,7.4,81,172199,74.0
8254,Knight and Day,2010,6.3,46,171355,63.0
8255,Shrek Forever After,2010,6.3,58,170447,63.0
8256,The Next Three Days,2010,7.4,52,170424,74.0
8257,Love & Other Drugs,2010,6.7,55,169742,67.0
8258,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167031,59.0
8259,Get Him to the Greek,2010,6.4,65,162732,64.0
8260,Tucker and Dale vs Evil,2010,7.5,65,155647,75.0
8261,Inception,2010,8.8,74,1872608,88.0
8262,Shutter Island,2010,8.1,63,1024847,81.0
8263,Toy Story 3,2010,8.3,92,699579,83.0
8264,Iron Man 2,2010,7.0,57,670942,70.0
8265,Black Swan,2010,8.0,79,656941,80.0
8266,How to Train Your Dragon,2010,8.1,74,620196,81.0
8267,The King's Speech,2010,8.0,88,600433,80.0
8268,The Social Network,2010,7.7,95,575608,77.0
8269,Kick-Ass,2010,7.6,66,502135,76.0
8270,Despicable Me,2010,7.6,72,470811,76.0
8271,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,433215,77.0
8272,Tangled,2010,7.7,71,372597,77.0
8273,Alice in Wonderland,2010,6.4,53,362696,64.0
8274,Scott Pilgrim vs. the World,2010,7.5,69,344535,75.0
8275,Easy A,2010,7.1,72,334919,71.0
8276,127 Hours,2010,7.6,82,327941,76.0
8277,The Town,2010,7.5,74,326541,75.0
8278,The Fighter,2010,7.8,79,319699,78.0
8279,The Expendables,2010,6.5,45,310867,65.0
8280,Due Date,2010,6.5,51,306937,65.0
8281,Tron,2010,6.8,49,298863,68.0
8282,True Grit,2010,7.6,80,288160,76.0
8283,Salt,2010,6.4,65,279741,64.0
8284,The Book of Eli,2010,6.9,53,275490,69.0
8285,RED,2010,7.0,60,274071,70.0
8286,Clash of the Titans,2010,5.8,39,259126,58.0
8287,Insidious,2010,6.8,52,258536,68.0
8288,Prince of Persia: The Sands of Time,2010,6.6,50,258133,66.0
8289,Robin Hood,2010,6.6,53,241647,66.0
8290,The A-Team,2010,6.7,47,237275,67.0
8291,The Other Guys,2010,6.6,64,224766,66.0
8292,The Twilight Saga: Eclipse,2010,5.0,58,214115,50.0
8293,Grown Ups,2010,5.9,30,213857,59.0
8294,Megamind,2010,7.2,63,211367,72.0
8295,The Tourist,2010,6.0,37,209218,60.0
8296,Predators,2010,6.4,51,201982,64.0
8297,Machete,2010,6.6,60,183689,66.0
8298,Unstoppable,2010,6.7,69,174777,67.0
8299,Blue Valentine,2010,7.4,81,172199,74.0
8300,Knight and Day,2010,6.3,46,171355,63.0
8301,Shrek Forever After,2010,6.3,58,170447,63.0
8302,The Next Three Days,2010,7.4,52,170424,74.0
8303,Love & Other Drugs,2010,6.7,55,169742,67.0
8304,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,167031,59.0
8305,Get Him to the Greek,2010,6.4,65,162732,64.0
8306,Tucker and Dale vs Evil,2010,7.5,65,155647,75.0
8307,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,702311,81.0
8308,Thor,2011,7.0,57,696348,70.0
8309,The Intouchables,2011,8.5,57,690155,85.0
8310,Captain America: The First Avenger,2011,6.9,66,682446,69.0
8311,X: First Class,2011,7.7,65,617153,77.0
8312,Drive,2011,7.8,78,528713,78.0
8313,Limitless,2011,7.4,59,498086,74.0
8314,Rise of the Planet of the Apes,2011,7.6,68,476917,76.0
8315,Source Code,2011,7.5,74,457390,75.0
8316,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,453053,66.0
8317,"Crazy, Stupid, Love.",2011,7.4,68,441545,74.0
8318,The Hangover Part II,2011,6.4,44,437869,64.0
8319,Mission: Impossible - Ghost Protocol,2011,7.4,73,433054,74.0
8320,Warrior,2011,8.2,71,408209,82.0
8321,Horrible Bosses,2011,6.9,57,402417,69.0
8322,Sherlock Holmes: A Game of Shadows,2011,7.5,48,398288,75.0
8323,The Help,2011,8.1,62,397734,81.0
8324,The Girl with the Dragon Tattoo,2011,7.8,71,392338,78.0
8325,Transformers: Dark of the Moon,2011,6.2,42,369491,62.0
8326,Midnight in Paris,2011,7.7,81,361015,77.0
8327,In Time,2011,6.7,53,349629,67.0
8328,The Cabin in the Woods,2011,7.0,72,344028,70.0
8329,Fast Five,2011,7.3,66,334198,73.0
8330,Moneyball,2011,7.6,87,331564,76.0
8331,Super 8,2011,7.0,72,322815,70.0
8332,Friends with Benefits,2011,6.5,63,320903,65.0
8333,50/50,2011,7.6,72,303344,76.0
8334,Hugo,2011,7.5,83,287415,75.0
8335,Real Steel,2011,7.1,56,285476,71.0
8336,Green Lantern,2011,5.5,39,254491,55.0
8337,Bridesmaids,2011,6.8,75,252549,68.0
8338,Unknown,2011,6.8,56,237023,68.0
8339,Kung Fu Panda 2,2011,7.2,67,232922,72.0
8340,The Grey,2011,6.8,64,230633,68.0
8341,The Adjustment Bureau,2011,7.0,60,230194,70.0
8342,The Descendants,2011,7.3,84,224913,73.0
8343,Paul,2011,7.0,57,222716,70.0
8344,Sucker Punch,2011,6.0,33,220082,60.0
8345,I Am Number Four,2011,6.1,36,219517,61.0
8346,Rango,2011,7.2,75,218901,72.0
8347,The Artist,2011,7.9,89,218826,79.0
8348,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,210667,49.0
8349,The Ides of March,2011,7.1,67,208531,71.0
8350,Just Go with It,2011,6.4,33,205018,64.0
8351,The Adventures of Tintin,2011,7.3,68,204556,73.0
8352,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,702311,81.0
8353,Thor,2011,7.0,57,696348,70.0
8354,The Intouchables,2011,8.5,57,690155,85.0
8355,Captain America: The First Avenger,2011,6.9,66,682446,69.0
8356,X: First Class,2011,7.7,65,617153,77.0
8357,Drive,2011,7.8,78,528713,78.0
8358,Limitless,2011,7.4,59,498086,74.0
8359,Rise of the Planet of the Apes,2011,7.6,68,476917,76.0
8360,Source Code,2011,7.5,74,457390,75.0
8361,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,453053,66.0
8362,"Crazy, Stupid, Love.",2011,7.4,68,441545,74.0
8363,The Hangover Part II,2011,6.4,44,437869,64.0
8364,Mission: Impossible - Ghost Protocol,2011,7.4,73,433054,74.0
8365,Warrior,2011,8.2,71,408209,82.0
8366,Horrible Bosses,2011,6.9,57,402417,69.0
8367,Sherlock Holmes: A Game of Shadows,2011,7.5,48,398288,75.0
8368,The Help,2011,8.1,62,397734,81.0
8369,The Girl with the Dragon Tattoo,2011,7.8,71,392338,78.0
8370,Transformers: Dark of the Moon,2011,6.2,42,369491,62.0
8371,Midnight in Paris,2011,7.7,81,361015,77.0
8372,In Time,2011,6.7,53,349629,67.0
8373,The Cabin in the Woods,2011,7.0,72,344028,70.0
8374,Fast Five,2011,7.3,66,334198,73.0
8375,Moneyball,2011,7.6,87,331564,76.0
8376,Super 8,2011,7.0,72,322815,70.0
8377,Friends with Benefits,2011,6.5,63,320903,65.0
8378,50/50,2011,7.6,72,303344,76.0
8379,Hugo,2011,7.5,83,287415,75.0
8380,Real Steel,2011,7.1,56,285476,71.0
8381,Green Lantern,2011,5.5,39,254491,55.0
8382,Bridesmaids,2011,6.8,75,252549,68.0
8383,Unknown,2011,6.8,56,237023,68.0
8384,Kung Fu Panda 2,2011,7.2,67,232922,72.0
8385,The Grey,2011,6.8,64,230633,68.0
8386,The Adjustment Bureau,2011,7.0,60,230194,70.0
8387,The Descendants,2011,7.3,84,224913,73.0
8388,Paul,2011,7.0,57,222716,70.0
8389,Sucker Punch,2011,6.0,33,220082,60.0
8390,I Am Number Four,2011,6.1,36,219517,61.0
8391,Rango,2011,7.2,75,218901,72.0
8392,The Artist,2011,7.9,89,218826,79.0
8393,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,210667,49.0
8394,The Ides of March,2011,7.1,67,208531,71.0
8395,Just Go with It,2011,6.4,33,205018,64.0
8396,The Adventures of Tintin,2011,7.3,68,204556,73.0
8397,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,702311,81.0
8398,Thor,2011,7.0,57,696348,70.0
8399,The Intouchables,2011,8.5,57,690155,85.0
8400,Captain America: The First Avenger,2011,6.9,66,682446,69.0
8401,X: First Class,2011,7.7,65,617153,77.0
8402,Drive,2011,7.8,78,528713,78.0
8403,Limitless,2011,7.4,59,498086,74.0
8404,Rise of the Planet of the Apes,2011,7.6,68,476917,76.0
8405,Source Code,2011,7.5,74,457390,75.0
8406,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,453053,66.0
8407,"Crazy, Stupid, Love.",2011,7.4,68,441545,74.0
8408,The Hangover Part II,2011,6.4,44,437869,64.0
8409,Mission: Impossible - Ghost Protocol,2011,7.4,73,433054,74.0
8410,Warrior,2011,8.2,71,408209,82.0
8411,Horrible Bosses,2011,6.9,57,402417,69.0
8412,Sherlock Holmes: A Game of Shadows,2011,7.5,48,398288,75.0
8413,The Help,2011,8.1,62,397734,81.0
8414,The Girl with the Dragon Tattoo,2011,7.8,71,392338,78.0
8415,Transformers: Dark of the Moon,2011,6.2,42,369491,62.0
8416,Midnight in Paris,2011,7.7,81,361015,77.0
8417,In Time,2011,6.7,53,349629,67.0
8418,The Cabin in the Woods,2011,7.0,72,344028,70.0
8419,Fast Five,2011,7.3,66,334198,73.0
8420,Moneyball,2011,7.6,87,331564,76.0
8421,Super 8,2011,7.0,72,322815,70.0
8422,Friends with Benefits,2011,6.5,63,320903,65.0
8423,50/50,2011,7.6,72,303344,76.0
8424,Hugo,2011,7.5,83,287415,75.0
8425,Real Steel,2011,7.1,56,285476,71.0
8426,Green Lantern,2011,5.5,39,254491,55.0
8427,Bridesmaids,2011,6.8,75,252549,68.0
8428,Unknown,2011,6.8,56,237023,68.0
8429,Kung Fu Panda 2,2011,7.2,67,232922,72.0
8430,The Grey,2011,6.8,64,230633,68.0
8431,The Adjustment Bureau,2011,7.0,60,230194,70.0
8432,The Descendants,2011,7.3,84,224913,73.0
8433,Paul,2011,7.0,57,222716,70.0
8434,Sucker Punch,2011,6.0,33,220082,60.0
8435,I Am Number Four,2011,6.1,36,219517,61.0
8436,Rango,2011,7.2,75,218901,72.0
8437,The Artist,2011,7.9,89,218826,79.0
8438,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,210667,49.0
8439,The Ides of March,2011,7.1,67,208531,71.0
8440,Just Go with It,2011,6.4,33,205018,64.0
8441,The Adventures of Tintin,2011,7.3,68,204556,73.0
8442,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,702311,81.0
8443,Thor,2011,7.0,57,696348,70.0
8444,The Intouchables,2011,8.5,57,690155,85.0
8445,Captain America: The First Avenger,2011,6.9,66,682446,69.0
8446,X: First Class,2011,7.7,65,617153,77.0
8447,Drive,2011,7.8,78,528713,78.0
8448,Limitless,2011,7.4,59,498086,74.0
8449,Rise of the Planet of the Apes,2011,7.6,68,476917,76.0
8450,Source Code,2011,7.5,74,457390,75.0
8451,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,453053,66.0
8452,"Crazy, Stupid, Love.",2011,7.4,68,441545,74.0
8453,The Hangover Part II,2011,6.4,44,437869,64.0
8454,Mission: Impossible - Ghost Protocol,2011,7.4,73,433054,74.0
8455,Warrior,2011,8.2,71,408209,82.0
8456,Horrible Bosses,2011,6.9,57,402417,69.0
8457,Sherlock Holmes: A Game of Shadows,2011,7.5,48,398288,75.0
8458,The Help,2011,8.1,62,397734,81.0
8459,The Girl with the Dragon Tattoo,2011,7.8,71,392338,78.0
8460,Transformers: Dark of the Moon,2011,6.2,42,369491,62.0
8461,Midnight in Paris,2011,7.7,81,361015,77.0
8462,In Time,2011,6.7,53,349629,67.0
8463,The Cabin in the Woods,2011,7.0,72,344028,70.0
8464,Fast Five,2011,7.3,66,334198,73.0
8465,Moneyball,2011,7.6,87,331564,76.0
8466,Super 8,2011,7.0,72,322815,70.0
8467,Friends with Benefits,2011,6.5,63,320903,65.0
8468,50/50,2011,7.6,72,303344,76.0
8469,Hugo,2011,7.5,83,287415,75.0
8470,Real Steel,2011,7.1,56,285476,71.0
8471,Green Lantern,2011,5.5,39,254491,55.0
8472,Bridesmaids,2011,6.8,75,252549,68.0
8473,Unknown,2011,6.8,56,237023,68.0
8474,Kung Fu Panda 2,2011,7.2,67,232922,72.0
8475,The Grey,2011,6.8,64,230633,68.0
8476,The Adjustment Bureau,2011,7.0,60,230194,70.0
8477,The Descendants,2011,7.3,84,224913,73.0
8478,Paul,2011,7.0,57,222716,70.0
8479,Sucker Punch,2011,6.0,33,220082,60.0
8480,I Am Number Four,2011,6.1,36,219517,61.0
8481,Rango,2011,7.2,75,218901,72.0
8482,The Artist,2011,7.9,89,218826,79.0
8483,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,210667,49.0
8484,The Ides of March,2011,7.1,67,208531,71.0
8485,Just Go with It,2011,6.4,33,205018,64.0
8486,The Adventures of Tintin,2011,7.3,68,204556,73.0
8487,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,702311,81.0
8488,Thor,2011,7.0,57,696348,70.0
8489,The Intouchables,2011,8.5,57,690155,85.0
8490,Captain America: The First Avenger,2011,6.9,66,682446,69.0
8491,X: First Class,2011,7.7,65,617153,77.0
8492,Drive,2011,7.8,78,528713,78.0
8493,Limitless,2011,7.4,59,498086,74.0
8494,Rise of the Planet of the Apes,2011,7.6,68,476917,76.0
8495,Source Code,2011,7.5,74,457390,75.0
8496,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,453053,66.0
8497,"Crazy, Stupid, Love.",2011,7.4,68,441545,74.0
8498,The Hangover Part II,2011,6.4,44,437869,64.0
8499,Mission: Impossible - Ghost Protocol,2011,7.4,73,433054,74.0
8500,Warrior,2011,8.2,71,408209,82.0
8501,Horrible Bosses,2011,6.9,57,402417,69.0
8502,Sherlock Holmes: A Game of Shadows,2011,7.5,48,398288,75.0
8503,The Help,2011,8.1,62,397734,81.0
8504,The Girl with the Dragon Tattoo,2011,7.8,71,392338,78.0
8505,Transformers: Dark of the Moon,2011,6.2,42,369491,62.0
8506,Midnight in Paris,2011,7.7,81,361015,77.0
8507,In Time,2011,6.7,53,349629,67.0
8508,The Cabin in the Woods,2011,7.0,72,344028,70.0
8509,Fast Five,2011,7.3,66,334198,73.0
8510,Moneyball,2011,7.6,87,331564,76.0
8511,Super 8,2011,7.0,72,322815,70.0
8512,Friends with Benefits,2011,6.5,63,320903,65.0
8513,50/50,2011,7.6,72,303344,76.0
8514,Hugo,2011,7.5,83,287415,75.0
8515,Real Steel,2011,7.1,56,285476,71.0
8516,Green Lantern,2011,5.5,39,254491,55.0
8517,Bridesmaids,2011,6.8,75,252549,68.0
8518,Unknown,2011,6.8,56,237023,68.0
8519,Kung Fu Panda 2,2011,7.2,67,232922,72.0
8520,The Grey,2011,6.8,64,230633,68.0
